"category","key","author","title","month","year","editor","medial_id","volume","publisher","edition","number","series","address","abstract"
"Roman, histor.","1","Gordon, Noah","Der Diamant des Salomo","4","96","Heike (Bea)","","0","","0","0000","","","Harry Hopeman sucht Diamanten (Judentum, Mittelalter)"
"Roman","2","Green, Keith","Kompromißlos","11","96","Heike","","0","","0","0000","","","Lebensbild"
"Roman","3","Evans, Nicholas","Der Pferdeflüsterer","3","97","Anette Zeike","","0","C. Bertelsmann-Verlag München","18","1995","3-570-12194-1","","Pferd und Reiterin verunglücken schwer, beschreibt den Weg der Genesung vor allem des Pferdes, das dabei böswillig geworden ist. Grace Graves, Pilgrim, Tom Brooker, Annie und Mann"
"Eheberatung","4","Gray, John","Männer sind anders. Frauen auch.","3","97","Anette Zeike","","0","Goldmann Verlag Taschenbuch","0","1993","3-442-12487-5","","Männner sind vom Mars. Frauen von der Venus."
"Roman","5","Aitmatow, Tschingis","Die Richtstatt","5","97","ich","","0","","0","0000","","","An Wolfsgeschichte (Akbara und Taschtschainar) angebundene Menschendarstellung"
"Roman, histor.","6","Follett, Ken","Die Säulen der Erde","2","97","ich","","0","","0","0000","","","Geschichte des Lebens von einem Mönch im 11. Jhr. (Prior Philipp, Tom Builder...)"
"Roman, histor.","7","Gordon, Noah","Der Medicus","4","97","Heike","","0","","0","0000","","","Geschichte eines Baderchirugen im 11. Jhr (Rob Jeremy Cole oder Jesse Ben Benjamin(in Isfahan))"
"Spielebuch","8","Baum, H.","Spielideen für Erwachsene. Spielebuch, 100 Spiele","6","96","Bettina Schoßig","","0","Falken","0","1995","3-8068-4844-0","","auf ESG-Sommerfest 96, gute Spiele in GSSPIELE.DAB, im Buchhandel ca. 40 DM"
"OL-Buch","9","Cornaz, Stefan; Hirter, Roland","Orientierungslaufen-Jogging mit Köpfchen.","8","96","UB/IL Fernleihe","","1","Bern/Stuttgart, Hallwag 1981;","2","1985","3-444-50174-9","","teilweise kopiert, Signaturen für int. OL-Karten"
"Spielebuch","10","Geißler, Uli","Wilde Spiele","0","96","Heike Hindemith","","1","","0","0000","","","Copy erhalten, Lit.empfehlung von ihr: Spiel(t)räume Bd. 1+2 je 26,80 DM zu beziehen bei Armins Bücherkiste, Tappeweg 8, 59494 Soest, Tel.: 02921/6877, Fax: 82452"
